table,format,size (MB),query,time (seconds),comment
PARTITIONED BY month CLUSTERED BY carrier,PARQUET,124,2,-1,FAILED MR DEFAULT
PARTITIONED BY month CLUSTERED BY carrier,PARQUET,124,3,-1,FAILED MR DEFAULT
PARTITIONED BY month CLUSTERED BY carrier,PARQUET,124,4,93,MR DEFAULT
PARTITIONED BY month CLUSTERED BY carrier,PARQUET,124,1,58,MR WITH INDEX
PARTITIONED BY month CLUSTERED BY carrier,PARQUET,124,2,-1,FAILED MR WITH INDEX
PARTITIONED BY month CLUSTERED BY carrier,PARQUET,124,3,-1,FAILED MR WITH INDEX
PARTITIONED BY month CLUSTERED BY carrier,PARQUET,124,4,77,MR WITH INDEX
PARTITIONED BY month CLUSTERED BY carrier,PARQUET,124,1,23,TEZ
PARTITIONED BY month CLUSTERED BY carrier,PARQUET,124,2,-1,FAILED TEZ
PARTITIONED BY month CLUSTERED BY carrier,PARQUET,124,3,-1,FAILED TEZ
PARTITIONED BY month CLUSTERED BY carrier,PARQUET,124,4,23,TEZ
PARTITIONED BY month CLUSTERED BY carrier,PARQUET,124,1,59,MR WITH VECTORIZATION
PARTITIONED BY month CLUSTERED BY carrier,PARQUET,124,2,-1,FAILED MR WITH VECTORIZATION
PARTITIONED BY month CLUSTERED BY carrier,PARQUET,124,3,-1,FAILED MR WITH VECTORIZATION
PARTITIONED BY month CLUSTERED BY carrier,PARQUET,124,4,76,MR WITH VECTORIZATION
